Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;1;Алтайский край;регион;2019;01000000;01000000;18;"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;2;Амурская область;регион;2019;10000000;10000000;"-0,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;4;Астраханская область;регион;2019;12000000;12000000;"-10,3";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;5;Белгородская область;регион;2019;14000000;14000000;"15,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;6;Брянская область;регион;2019;15000000;15000000;"80,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;7;Владимирская область;регион;2019;17000000;17000000;"58,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;8;Волгоградская область;регион;2019;18000000;18000000;"-51,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;9;Вологодская область;регион;2019;19000000;19000000;"79,3";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;10;Воронежская область;регион;2019;20000000;20000000;"7,4";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;12;Еврейская автономная область;регион;2019;99000000;99000000;"58,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;13;Забайкальский край;регион;2019;76000000;76000000;9999;"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;14;Ивановская область;регион;2019;24000000;24000000;"2,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;15;Иркутская область;регион;2019;25000000;25000000;"29,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;16;Калининградская область;регион;2019;27000000;27000000;"45,8";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;17;Калужская область;регион;2019;29000000;29000000;"1,4";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;18;Камчатский край;регион;2019;30000000;30000000;"8,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;19;Кемеровская область;регион;2019;32000000;32000000;"40,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;20;Кировская область;регион;2019;33000000;33000000;"75,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;21;Костромская область;регион;2019;34000000;34000000;"91,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;22;Краснодарский край;регион;2019;03000000;03000000;"-22,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;23;Красноярский край;регион;2019;04000000;04000000;9999;"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;24;Курганская область;регион;2019;37000000;37000000;"4,4";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;25;Курская область;регион;2019;38000000;38000000;"5,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;26;Ленинградская область;регион;2019;41000000;41000000;"58,8";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;27;Липецкая область;регион;2019;42000000;42000000;"12,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;28;Магаданская область;регион;2019;44000000;44000000;"11,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;29;Москва;регион;2019;45000000;45000000;"39,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;30;Московская область;регион;2019;46000000;46000000;"77,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;31;Мурманская область;регион;2019;47000000;47000000;"-1,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;32;Ненецкий автономный округ;регион;2019;11800000;11100000;"28,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;33;Нижегородская область;регион;2019;22000000;22000000;"64,8";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;34;Новгородская область;регион;2019;49000000;49000000;"89,6";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;35;Новосибирская область;регион;2019;50000000;50000000;"26,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;36;Омская область;регион;2019;52000000;52000000;"31,4";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;37;Оренбургская область;регион;2019;53000000;53000000;"-14,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;38;Орловская область;регион;2019;54000000;54000000;"30,6";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;39;Пензенская область;регион;2019;56000000;56000000;"68,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;40;Пермский край;регион;2019;57000000;57000000;"77,8";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;42;Приморский край;регион;2019;05000000;05000000;"70,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;43;Псковская область;регион;2019;58000000;58000000;"74,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;44;Республика Адыгея;регион;2019;79000000;79000000;"12,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;45;Республика Алтай;регион;2019;84000000;84000000;"17,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
